Name,index_name,altitude_m,Type,Mean vegetation index value,Mean coefficient of variation of vegetation index,Mean standard deviation of the vegetation index,Mean standard deviation of the standard deviation vegetation index,Total amplitude of vegetation index,Total increase changes of vegetation index,Total decrease changes of vegetation index,Total relative vegetation index amplitude (%),Total relative increase change of vegetation index amplitude (%),Total relative decrease change of vegetation index amplitude (%),Number of increase changes vegetation index,Number of decrease changes vegetation index,Roughness of vegetation index dynamics,Concentration of vegetation index changes,Total normalized temporal amplitude relative to index bounds,Normalized temporal roughness relative to index bounds,Spearman correlation between index level and magnitude of temporal change
Polonez 4 Edges,MCARI,50,Area,0.7307863636363637,0.3486917438090709,0.250460909090909,0.0244485003444159,0.7686900000000001,0.4481900000000001,0.3205,0.9801105088938766,0.5325282390685437,0.4475822698253328,5,4,1.1288100000000003,0.1852863065017812,12.235264020268792,22.95047791150222,0.4181818181818181
Polonez 5 Edges,MCARI,50,Area,0.7479518181818182,0.3232076277862663,0.237740909090909,0.0296080889131823,0.79704,0.45404,0.3429999999999999,1.0407941011152209,0.5409550872534463,0.4998390138617745,6,3,1.21012,0.1847160657485996,-64.4397754771936,132.4218756172321,0.1757575757575757
Enrosadira 2 Bounded,MCARI2,30,Area,0.7453918181818182,0.1713716080716332,0.1250272727272727,0.038995631060648,0.7074599999999998,0.3506399999999998,0.3568199999999999,0.9681252174701392,0.4480210442401938,0.5201041732299453,4,6,0.99357,0.132029897700732,2.208425037171565,2.3607876288792324,-0.5030303030303029
Enrosadira 3 Bounded,MCARI2,30,Area,0.8030545454545455,0.1053449603595352,0.0835772727272727,0.0246067535814495,0.6948999999999997,0.3641799999999998,0.3307199999999999,0.8578472372830297,0.4296106659808039,0.4282365713022258,4,6,0.8438299999999997,0.1175473462153107,2.9388774897942955,3.4420941189883223,-0.5757575757575757
Enrosadira 4 Bounded,MCARI2,30,Area,0.8037936363636363,0.0951540951608524,0.0757490909090909,0.0133145014585942,0.6107399999999998,0.3390799999999999,0.2716599999999999,0.7467563576133551,0.3992010956098322,0.3475552620035229,4,6,0.8340499999999997,0.134189019273027,2.835809065720521,4.152919773073382,-0.1393939393939393
Enrosadira 5 Bounded,MCARI2,30,Area,0.8290236363636364,0.0822561528426703,0.0675545454545454,0.0144225305433106,0.4946200000000004,0.2890400000000002,0.2055800000000002,0.5808445082552788,0.3309148227406899,0.2499296855145888,5,5,0.6604600000000004,0.1503656649335617,2.912699252450611,4.453237509677033,0.1151515151515151
Enrosadira 2 Edges,MCARI2,30,Area,0.6435472727272727,0.3294275471733672,0.2046627272727272,0.0408282213893549,0.7849300000000001,0.38,0.40493,1.255585329671601,0.5443971682984814,0.7111881613731196,5,5,1.24132,0.1557297588338999,2.0748145016591653,2.47092835083221,-0.309090909090909
Enrosadira 3 Edges,MCARI2,30,Area,0.7120227272727272,0.2548734982827492,0.17603,0.0453506687933044,0.8078899999999999,0.4400699999999999,0.3678199999999999,1.1137576510412392,0.5722564078376899,0.5415012432035493,5,5,1.16118,0.1341918356916469,2.585760644978096,2.792530044077629,-0.2848484848484848
Enrosadira 4 Edges,MCARI2,30,Area,0.7137018181818182,0.2570307458463818,0.1799345454545454,0.0335618409398639,0.7500899999999998,0.4275699999999999,0.3225199999999999,1.0399720285499592,0.5658047863177997,0.4741672422321595,6,4,1.0178299999999998,0.126438116142528,2.3102119867962747,2.023525014388504,-0.1878787878787878
Enrosadira 5 Edges,MCARI2,30,Area,0.7467318181818182,0.2292657226426182,0.1692063636363636,0.0252189088870741,0.6219700000000001,0.3684200000000001,0.25355,0.8012986250355405,0.4566369750076371,0.3446616500279034,5,5,0.9120400000000002,0.1538987258763371,2.3741747213996525,2.918541256884824,0.4545454545454545
Polonez 2 Bounded,MCARI2,30,Area,0.7519818181818182,0.16407581434811,0.1205272727272727,0.036772559902979,0.7638499999999999,0.4029199999999999,0.36093,0.998411326638629,0.5026324088829511,0.4957789177556778,4,6,0.8326499999999999,0.1113278979971478,2.646242501701648,2.310894755499165,-0.3212121212121211
